index,CB,B,G1,G2,Y,R,RD,NIR,GAI,sun_elevation,Cab,Cw,Cm,N,aot,water,ozone,Density,soil_name,SMCg,Sand,Clay,Silt,TT
2720,0.016214082,0.01624065,0.044876367,0.04444364,0.026461652,0.016760848,0.08329212,0.33372024,3.730968377,51.99117925,37.53876803,0.046021377,0.010556755,1.467446305,0.302896619,4.356066311,0.307685421,352.9616914,13Crau1,18.16713445,396,271,333,1089
2721,0.02690285,0.03112167,0.063078366,0.06847329,0.06055676,0.05455925,0.11582305,0.27029812,1.062289971,41.59472227,38.44303507,0.03329584,0.007634051,2.260140711,0.311502189,2.073612003,0.476018752,352.9616914,13Crau1,14.41064702,396,271,333,756
2722,0.018555846,0.021300832,0.053219754,0.055708453,0.042805463,0.03306837,0.095715865,0.2653944,1.838447494,39.39768194,37.52467066,0.046622546,0.010802933,2.199015639,0.385224637,0.653843688,0.300777871,352.9616914,13Crau1,26.40540601,396,271,333,892
2723,0.022141032,0.023534888,0.047864147,0.05313472,0.04214385,0.035819918,0.09510945,0.26726848,1.61765595,45.25366503,32.73024495,0.050733122,0.012770048,1.24920579,0.229864564,1.697974304,0.437750772,352.9616914,13Crau1,10.30427032,396,271,333,867
2724,0.020350385,0.022625059,0.05070586,0.063655056,0.050712883,0.038776606,0.10876565,0.25287783,1.887220923,43.36537617,22.5199516,0.051376967,0.011550181,1.230758931,0.35107013,1.038572082,0.351658866,352.9616914,13Crau1,8.81550882,396,271,333,897
2725,0.017810304,0.019764004,0.04863852,0.056078203,0.04208689,0.031137226,0.09583997,0.2522484,1.600842203,46.90458169,27.80864874,0.037786305,0.008819976,1.577905709,0.205664949,4.44536516,0.379679881,352.9616914,13Crau1,31.25136363,396,271,333,865
2726,0.012743053,0.013483685,0.040538292,0.042028114,0.026958622,0.017247,0.08042364,0.36792862,2.600144474,24.8821559,35.685303,0.031500389,0.005191365,1.573970033,0.484842197,1.06144578,0.363185546,352.9616914,13Crau1,20.04904111,396,271,333,987
2727,0.017697645,0.018821059,0.031611525,0.032065526,0.029403243,0.030732343,0.06328803,0.33252537,2.419578893,54.048027,55.76881098,0.040607591,0.008822088,1.061373005,0.395855811,2.567766448,0.476806099,352.9616914,13Crau2,14.55018808,470,214,316,970
2728,0.014607241,0.014407562,0.031847186,0.028587138,0.018628836,0.015607449,0.057109274,0.2781552,3.447362365,48.55805647,51.27406082,0.061637702,0.018133282,1.362631541,0.412775532,3.786746276,0.403963898,352.9616914,13Crau2,19.37725149,470,214,316,1063
2729,0.014669154,0.016069466,0.044539694,0.045080934,0.031564843,0.023075366,0.08440447,0.39665332,2.623061373,41.85813155,39.9092721,0.039059173,0.00995481,1.894219716,0.147301417,4.194267273,0.274551059,352.9616914,13Crau2,18.52155267,470,214,316,989
2730,0.026008096,0.029874608,0.041257057,0.049224965,0.057351366,0.06577752,0.08972284,0.22092584,0.745597777,46.84468005,57.43295976,0.04075313,0.003777194,0.972034314,0.139378923,3.026913219,0.24552422,352.9616914,13Crau2,24.01543073,470,214,316,644
2731,0.015447065,0.017591717,0.04828611,0.046461392,0.033631273,0.02552145,0.084340334,0.38205573,2.92638575,59.37485161,47.48961918,0.043025282,0.008055508,2.374558223,0.066803108,2.139543794,0.331305764,352.9616914,13Crau2,17.20311751,470,214,316,1013
2732,0.018449228,0.020122424,0.06378571,0.061581004,0.037822597,0.02075786,0.10365931,0.3663619,4.429320428,35.95032139,39.67939599,0.045563459,0.014513088,2.144571985,0.439618415,1.002750334,0.222234269,352.9616914,13Crau2,9.336702187,470,214,316,1152
2733,0.03549875,0.041929554,0.07012236,0.08146998,0.08575023,0.08943244,0.13951786,0.26203558,0.803732875,42.79663056,42.47003213,0.061379592,0.020313156,2.136588038,0.302114538,2.416147759,0.446451595,352.9616914,13Crau2,10.87772233,470,214,316,660
2734,0.025322894,0.029515883,0.055211637,0.067292295,0.06547178,0.063612096,0.120361924,0.24797344,0.844368084,32.55934128,29.57884646,0.045257611,0.008501793,1.291690287,0.224513213,3.877834665,0.326643164,352.9616914,13Crau2,26.67998356,470,214,316,670
2735,0.028781548,0.03401671,0.06081705,0.07762841,0.07749315,0.075844206,0.1366304,0.25521666,0.942528277,55.44426814,24.25103531,0.040473677,0.006673214,1.286017449,0.439854224,1.983388577,0.239026974,352.9616914,13Crau2,17.16589691,470,214,316,705
2736,0.025702195,0.031120973,0.0750923,0.08538353,0.063217096,0.042509343,0.13434911,0.36403522,2.439470424,17.96234665,25.80528812,0.038265633,0.009946669,2.414174537,0.477616863,4.081749564,0.202258045,352.9616914,24Coulounieix,20.53152453,285,302,413,972
2737,0.06082951,0.069679,0.09292414,0.0976599,0.0954203,0.09839241,0.13946341,0.26810747,0.786934115,48.99241831,44.31851659,0.038302133,0.007359053,1.693237634,0.059177068,3.633245198,0.338314632,352.9616914,24Coulounieix,20.95023289,285,302,413,656
2738,0.015015192,0.015255379,0.04269459,0.04602152,0.027581204,0.015998589,0.08870507,0.3933653,3.222359443,32.98502962,31.57278134,0.038129129,0.01010275,1.177975051,0.260552927,3.875982895,0.384617133,352.9616914,24Coulounieix,14.66356664,285,302,413,1041
2739,0.01759891,0.016595177,0.03526757,0.027468104,0.016400635,0.014221937,0.053999145,0.4587912,4.67194959,57.92997275,67.88267589,0.050752235,0.007538005,1.623716315,0.233320675,4.306028844,0.466205489,352.9616914,24Coulounieix,21.04056119,285,302,413,1183
2740,0.050757665,0.059577994,0.096527115,0.10849183,0.09628113,0.08644973,0.1599571,0.30128437,0.900106254,37.09160819,25.72838721,0.036705803,0.003670652,1.889048783,0.303814721,4.479617008,0.412185085,352.9616914,24Coulounieix,22.39954386,285,302,413,690
2741,0.025301078,0.027413528,0.053304523,0.056275886,0.042604234,0.034291554,0.09236682,0.26121166,2.04386382,42.75811823,33.13994931,0.053052016,0.010017139,1.472950852,0.136513281,1.280200479,0.499779799,352.9616914,24Coulounieix,22.66470466,285,302,413,919
2742,0.019388175,0.019147683,0.047478143,0.04854196,0.028503576,0.018465698,0.09122825,0.44345787,4.458433056,33.64835099,34.29605356,0.039793114,0.008902436,1.12070641,0.482744926,1.816869164,0.474740405,352.9616914,24Coulounieix,13.55065559,285,302,413,1156
2743,0.02014317,0.019677073,0.043803565,0.040701505,0.024809958,0.01894401,0.07860204,0.4506754,4.010071272,54.91168811,43.54534656,0.017056494,0.001870993,1.233780679,0.195795579,1.721561203,0.435215812,352.9616914,24Coulounieix,12.43852831,285,302,413,1113
2744,0.02157191,0.02661654,0.09054164,0.09718577,0.06271209,0.031428818,0.15165408,0.4411528,4.090596426,38.34960638,29.41681446,0.043317253,0.008364938,2.391060285,0.485352876,4.346197214,0.343251898,352.9616914,24Coulounieix,18.42525256,285,302,413,1118
2745,0.017199162,0.017972285,0.049555574,0.04496046,0.027756305,0.018785918,0.08206221,0.38387007,3.934811998,41.1934312,47.75488232,0.052493338,0.013935362,1.863257847,0.090346206,3.662408176,0.219236015,352.9616914,30BleA,25.64751432,189,240,571,1107
2746,0.038061906,0.045314856,0.068019666,0.07300757,0.070557214,0.07205334,0.111330666,0.24978907,0.939906999,55.29817174,44.10207249,0.036115024,0.003776447,1.297121208,0.353118432,4.380287111,0.200136096,352.9616914,30BleA,28.74446116,189,240,571,710
2747,0.044037443,0.052800916,0.07167675,0.079676405,0.08132489,0.08521929,0.11567515,0.2166424,0.781869942,52.79696657,37.65559331,0.041619108,0.010559017,0.866618448,0.306083523,3.973486049,0.357836932,352.9616914,30BleA,29.46898012,189,240,571,627
2748,0.034454383,0.04050953,0.07228404,0.08751647,0.07427754,0.06272759,0.13445677,0.272277,1.291940861,37.79830739,21.70244127,0.048833917,0.011989195,1.141583077,0.494454418,3.635583982,0.378132627,352.9616914,30BleA,20.59204224,189,240,571,786
2749,0.046843905,0.055872027,0.083325736,0.087015495,0.084872365,0.08689745,0.12795766,0.28009185,0.920802904,48.2025867,56.4240493,0.044507025,0.013463063,2.04725706,0.303411268,2.506304652,0.277897011,352.9616914,30BleA,17.01966334,189,240,571,731
9000,0.02896562,0.035118017,0.08313647,0.083442695,0.06308386,0.04831847,0.13542375,0.40475953,1.77804678,33.48772265,41.12031161,0.036914667,0.004149898,2.435219147,0.260272377,4.238486981,0.226495009,351.8007844,30SolNuLabC,17.13199152,253,218,529,627
9001,0.016373405,0.017143505,0.057184644,0.053135287,0.030448757,0.016076174,0.09426651,0.43967786,6.184154272,23.33620389,41.67554007,0.046927452,0.009756895,2.100057751,0.190676773,1.664412967,0.236361094,351.8007844,30SolNuLabC,27.79119187,253,218,529,945
9002,0.022442773,0.027570412,0.09714789,0.114811875,0.074051596,0.03595864,0.17763102,0.4707172,6.734616581,49.01883195,23.29240255,0.045919972,0.012929864,2.081588285,0.394076539,3.36213115,0.314031835,351.8007844,30SolNuLabC,24.48026088,253,218,529,993
9003,0.02634147,0.029967586,0.06520032,0.069688246,0.052144073,0.04080047,0.116039336,0.312118,1.824226997,38.12001412,33.3957861,0.060348931,0.017024986,1.543518108,0.289934992,0.866868016,0.447324816,351.8007844,30SolNuLabC,16.70892349,253,218,529,630
9004,0.020555409,0.02157671,0.046072442,0.044707827,0.030708404,0.02506611,0.08157982,0.3218317,2.786995521,47.95858968,42.60440077,0.043778113,0.011178934,1.195583868,0.35046803,3.799677928,0.391446962,351.8007844,30SolNuLabC,19.2617794,253,218,529,704
9005,0.019163447,0.020658666,0.06374706,0.06215224,0.03759895,0.020985434,0.106597506,0.35392118,5.08272875,57.49726414,38.5211031,0.047229916,0.012931271,1.950520281,0.152607983,1.980476324,0.395240376,351.8007844,30SolNuLabC,11.66106961,253,218,529,833
9006,0.022617705,0.023512963,0.07251288,0.066683695,0.038653247,0.021779977,0.11854127,0.56245136,8.068782311,54.53325824,43.99898451,0.034186989,0.007814351,1.963613659,0.209346784,2.07130075,0.365415766,351.8007844,30SolNuLabC,31.95688772,253,218,529,1176
9007,0.0178517,0.01792273,0.045759477,0.04313342,0.025553493,0.017813854,0.08128957,0.39306626,5.275330473,46.37040811,41.64313951,0.044742749,0.007910352,1.43845286,0.309314351,3.059969553,0.35630584,351.8007844,30SolNuLabC,13.71882628,253,218,529,851
9008,0.0241305,0.025576174,0.07903408,0.06815044,0.03994242,0.023079697,0.119949944,0.48557067,6.914527534,67.20607875,53.86815184,0.048338438,0.010479309,2.359864432,0.396369222,3.832320081,0.400075416,351.8007844,30SolNuLabC,21.14753271,253,218,529,1018
9009,0.027635535,0.033066813,0.07336559,0.07991458,0.06308248,0.051188663,0.13135342,0.34723297,1.552829581,44.08248416,33.18905528,0.039663301,0.007124522,1.818088644,0.305922159,0.821771756,0.381468531,351.8007844,30VigneC,18.09005819,277,185,538,610
9010,0.023660975,0.024936616,0.07664114,0.06760042,0.039628167,0.02267717,0.118462555,0.49755764,7.599594946,60.27318734,50.06396702,0.039114097,0.012609332,2.232714611,0.377723226,1.21747729,0.374604861,351.8007844,30VigneC,12.41098704,277,185,538,1103
9011,0.0287042,0.037754152,0.09772056,0.12076116,0.093147576,0.06360329,0.18141447,0.37410706,1.793451493,33.84396925,20.29337956,0.040427368,0.00491004,2.41527303,0.189195695,1.214032111,0.412832295,351.8007844,30VigneC,10.75330907,277,185,538,628
9012,0.017189097,0.017166771,0.043103892,0.03993094,0.02454503,0.01744556,0.073226996,0.32282856,3.736146646,40.03269064,44.63918912,0.042203006,0.007110581,1.495956495,0.146716528,3.776941455,0.272042552,351.8007844,30VigneC,27.15088501,277,185,538,755
9013,0.019613411,0.021544227,0.06244138,0.059981193,0.038411632,0.024798928,0.10477267,0.3857181,2.881938003,52.48304674,41.95331353,0.039042798,0.007855819,2.002408569,0.452033029,3.901778728,0.377676253,351.8007844,30VigneC,28.29877483,277,185,538,709
